artist_name,citizenship,birth_place,debut_year,age
a½eljko Joksimoviat,Serbia,Belgrade,2004,53
Achille Lauro,Italy,Verona,2022,35
"Achinoam ""Noa"" Nini",Israel,Tel Aviv,2009,56
Agathonas Iakovidis,Greece,Evangelismos,2013,70
Aija Andrejeva,Latvia,Ogre,2010,39
Albina Graiat,Croatia,Split,2021,26
Albina Kelmendi,Kosovo,Peja,2023,37
Alex Callier,Belgium,Sint-Niklaas,2021,52
Alex Christensen,Germany,Hamburg,2009,58
Alex Mattson,Finland,Ylivieska,2021,27
Alexander Rybak,Norway,Minsk,2009,39
Alexey Vorobyov,Russia,Tula,2011,37
Aliona Moon,Moldova,ChiÈ™inaƒu,2013,36
Alyona Lanskaya,Belarus,Mogilev,2013,39
Amanda Tenfjord,Norway,a…lesund Municipality,2022,28
Amaury Vassili,France,Rouen,2011,36
Amber,Malta,Kalkara,2015,34
Aminata Savadogo,Latvia,Riga,2015,32
Ana Rucner,Croatia,Zagreb,2016,42
Ana Soklia,Slovenia,Bohinj Municipality,2020,41
Anastasia Vinnikova,Soviet Union,Dzyarzhynsk,2011,34
Anastasiia Prykhodko,Ukraine,Kyiv,2009,38
Andrea a uanjara,Croatia,Split,2009,38
Andrea Demiroviat,Montenegro,Podgorica,2009,40
Andrea Koevska,North Macedonia,Skopje,2022,25
Andrei Ursu,Romania,Buzaƒu,2022,32
Andrew Lambrou,Australia,Sydney,2023,27
Andrius Pojavis,Lithuania,Jurbarkas,2013,41
Anggun,France,Jakarta,2012,51
Anita Simoncini,San Marino,Montegiardino,2015,26
Anmary,Latvia,Gulbene,2012,45
Ann Sophie,Germany,London,2015,34
Anna Odobescu,Moldova,Dubaƒsari,2019,33
Anna Rossinelli,Switzerland,Basel,2011,38
Anouk,Kingdom of the Netherlands,The Hague,2013,50
Anri Joxadze,Georgia,Tbilisi,2012,44
Anxhela Peristeri,Albania,Koraa«,2021,39
Aram Mp3,Soviet Union,Yerevan,2014,41
Arash,Iran,Tehran,2009,48
Ari a“lafsson,Iceland,Reykjava­k,2018,27
Artsvik,Armenia,Kapan,2017,40
Aurela Gaae,Albania,Vlora«,2011,50
Axel Hirsoux,Belgium,La Hestre,2014,42
Aysel Teymurzadeh,Azerbaijan,Baku,2009,36
Barbara Pravi,France,15th arrondissement of Paris,2021,32
Barei,Spain,Madrid,2016,43
Basim,Kingdom of Denmark,Copenhagen,2014,33
Ben Cristovao,Czech Republic,Plzeaˆ,2020,38
Ben Dolic,Slovenia,Ljubljana,2020,28
Birgit Sarrap,Estonia,Kohila Rural Municipality,2013,36
Blanche,Belgium,Brussels metropolitan area,2017,26
Blanka,Poland,Szczecin,2023,26
Blas Canto,Spain,Ricote,2020,33
Boggie,Hungary,Budapest,2015,38
Bojana Stamenov,Serbia,Belgrade,2015,39
Bonnie Tyler,United Kingdom,Skewen,2013,74
Brooke Scullion,United Kingdom,Bellaghy,2022,26
Brunette,Armenia,Yerevan,2023,24
ByeAlex,Hungary,Kisvarda,2013,41
Can Bonomo,Turkey,a°zmir,2012,38
Carl Espen,Norway,Bergen,2014,43
Cesar Sampson,Austria,Linz,2018,41
Chiara Siracusa,Malta,Senglea,2005,48
