c_name,c_pop,c_firstYear
Albania,2775634,2004
Andorra,79824,2004
Armenia,2780469,2006
Australia,25978935,2015
Austria,9042528,1957
Azerbaijan,10175016,2008
Belarus,9208701,2004
Belgium,11669446,1956
Bosnia and Herzegovina,3233526,1993
Bulgaria,6465097,2005
Croatia,3854000,1993
Cyprus,1251488,1981
Czech Republic,10526073,2007
Denmark,5903037,1957
Estonia,1344768,1994
Finland,5556880,1961
France,67749632,1956
Georgia,3712502,2007
Germany,84079811,1956
Greece,10566531,1974
Hungary,9683505,1994
Iceland,381900,1986
Israel,9550600,1973
Italy,58856847,1956
Latvia,1883379,2000
Lithuania,2833000,1994
Luxembourg,650774,1956
Malta,523417,1971
Moldova,2592477,2005
Monaco,36469,1959
Montenegro,616159,2007
Morocco,37457971,1980
Netherlands,17942942,1956
North Macedonia,2057679,1998
Norway,5457127,1960
Poland,37561599,1994
Portugal,10379007,1964
Republic of Ireland,5086988,1965
Romania,18956666,1994
Russia,143555736,1994
San Marino,33660,2008
Serbia,6760087,2007
Slovakia,5431752,1994
Slovenia,2108732,1993
Spain,47615034,1961
Sweden,10486941,1958
Switzerland,8769741,1956
Turkey,85341241,1975
Ukraine,38000000,2003
United Kingdom,66971411,1957
