p_ID,song_name,country,artist,p_year,overall_place,performance_vid
PER1,Fairytale,Norway,Alexander Rybak,2009,1,https://youtube.com/watch?v=WXwgZL4zx9o
PER2,Is It True?,Iceland,Yohanna,2009,2,https://youtube.com/watch?v=qqE69feyEOU
PER3,Always,Azerbaijan,AySel & Arash,2009,3,https://youtube.com/watch?v=9OEIOS1oUeY
PER4,Dam Tek Tek,Turkey,Hadise,2009,4,https://youtube.com/watch?v=wwFkWsr9yV4
PER5,It's My Time,United Kingdom,Jade Ewen,2009,5,https://youtube.com/watch?v=PBykhFyy-ZE
PER6,Randajad,Estonia,Urban Symphony,2009,6,https://youtube.com/watch?v=PgGiVnhfXs0
PER7,This Is Our Night,Greece,Sakis Rouvas,2009,7,https://youtube.com/watch?v=1cXpPgJXT4c
PER8,Et S'il Fallait Le Faire,France,Patricia Kaas,2009,8,https://youtube.com/watch?v=C3eYBMYeUE8
PER9,Bistra Voda,Bosnia and Herzegovina,Regina,2009,9,https://youtube.com/watch?v=1770jHxvYi0
PER10,Jan Jan,Armenia,Inga & Anush,2009,10,https://youtube.com/watch?v=1AH6jCbDh98
PER11,Mamo,Russia,Anastasia Prikhodko,2009,11,https://youtube.com/watch?v=K5kKOVoO55g
PER12,Be my Valentine! (Anti-crisis Girl),Ukraine,Svetlana Loboda,2009,12,https://youtube.com/watch?v=rGJqLCuqssc
PER13,Believe Again,Denmark,Brinck,2009,13,https://youtube.com/watch?v=j7ZatW7tsxQ
PER14,Hora Din Moldova,Moldova,Nelly Ciobanu,2009,14,https://youtube.com/watch?v=ZoP_0okrWyo
PER15,Todas As Ruas Do Amor,Portugal,Flor-de-lis,2009,15,https://youtube.com/watch?v=ryE2npWRICk
PER16,There Must Be Another Way,Israel,Noa & Mira Awad,2009,16,https://youtube.com/watch?v=bBTQFOkFZw8
PER17,Carry Me In Your Dreams,Albania,Kejsi Tola,2009,17,https://youtube.com/watch?v=w6Ori4A4ATo
PER18,Lijepa Tena,Croatia,Igor Cukrov feat. Andrea,2009,18,https://youtube.com/watch?v=jdLct2IqcLA
PER19,The Balkan Girls,Romania,Elena,2009,19,https://youtube.com/watch?v=ioBTPQj7loM
PER20,Miss Kiss Kiss Bang,Germany,Alex Swings Oscar Sings!,2009,20,https://youtube.com/watch?v=veeOUiB6ojk
PER21,La Voix,Sweden,Malena Ernman,2009,21,https://youtube.com/watch?v=5WH2OwJeMBE
PER22,What If We,Malta,Chiara,2009,22,https://youtube.com/watch?v=kX5STdIuiEg
PER23,Love,Lithuania,Sasha Son,2009,23,https://youtube.com/watch?v=ukSmGIp_xVk
PER24,La Noche Es Para Ma­ (The Night Is For Me),Spain,Soraya,2009,24,https://youtube.com/watch?v=zw8uKCrDt7U
PER25,Lose Control,Finland,Waldo's People,2009,25,https://youtube.com/watch?v=D-Wr0z1_quw
PER26,Cipela,Serbia,Marko Kon & Milaan,2009,26,https://youtube.com/watch?v=DRObP8XE4Ko
PER27,Et Cetera,Republic of Ireland,Sinaad Mulvey & Black Daisy,2009,27,https://youtube.com/watch?v=fL8xgcsvKdY
PER28,Neshto Shto Ke Ostane,North Macedonia,Next Time,2009,28,https://youtube.com/watch?v=TZzUe2gBkME
PER29,Just Get Out of My Life,Montenegro,Andrea Demiroviat,2009,29,https://youtube.com/watch?v=kaDW_BWgQQE
PER30,I Don't Wanna Leave,Poland,Lidia Kopania,2009,30,https://youtube.com/watch?v=8m2gIli9SoA
PER31,Firefly,Cyprus,Christina Metaxa,2009,31,https://youtube.com/watch?v=NeYGROG0mZc
PER32,Eyes That Never Lie,Belarus,Petr Elfimov,2009,32,https://youtube.com/watch?v=xy4CX_IKEfQ
PER33,The Highest Heights,Switzerland,Lovebugs,2009,33,https://youtube.com/watch?v=OqBhqj5nIpE
PER34,Dance With Me,Hungary,Zoli adok,2009,34,https://youtube.com/watch?v=Xd4vRC5ZdLI
PER35,Love Symphony,Slovenia,Quartissimo feat. Martina,2009,35,https://youtube.com/watch?v=zql3IGp4zO4
PER36,Shine,Netherlands,The Toppers,2009,36,https://youtube.com/watch?v=6mR3W2fm7_E
PER37,La Teva Decisia (Get A Life),Andorra,Susanne Georgi,2009,37,https://youtube.com/watch?v=3JnT7T877es
PER38,Leay Tmou,Slovakia,Kamil Mikulaa­k & Nela Pociskova,2009,38,https://youtube.com/watch?v=RLMU1u2ojfk
PER39,Illusion,Bulgaria,Krassimir Avramov,2009,39,https://youtube.com/watch?v=Ov4QYpIttF0
PER40,Probka,Latvia,Intars Busulis,2009,40,https://youtube.com/watch?v=fTajw--jk8M
PER41,Copycat,Belgium,Copycat,2009,41,https://youtube.com/watch?v=8qVdSbiYT8w
PER42,Aven Romale,Czech Republic,Gipsy.cz,2009,42,https://youtube.com/watch?v=JsjBPt-GeFc
PER43,Satellite,Germany,Lena,2010,1,https://youtube.com/watch?v=-qnsZgQe1tU
PER44,We Could Be The Same,Turkey,maNga,2010,2,https://youtube.com/watch?v=524Yy7JWBd4
PER45,Playing With Fire,Romania,Paula Seling & Ovi,2010,3,https://youtube.com/watch?v=6OlG9g4-cyg
PER46,In A Moment Like This,Denmark,Chanae & N'evergreen,2010,4,https://youtube.com/watch?v=nNhIVQ1KBb8
PER47,Drip Drop,Azerbaijan,Safura,2010,5,https://youtube.com/watch?v=7zWO-V0dmHg
PER48,Me And My Guitar,Belgium,Tom Dice,2010,6,https://youtube.com/watch?v=Nk1UAXlfBUA
PER49,Apricot Stone,Armenia,Eva Rivas,2010,7,https://youtube.com/watch?v=hgz5TZugISw
PER50,OPA,Greece,Giorgos Alkaios & Friends,2010,8,https://youtube.com/watch?v=J50RL1rDisA
PER51,Shine,Georgia,Sofia Nizharadze,2010,9,https://youtube.com/watch?v=2-1yBx6IQN0
PER52,Sweet People,Ukraine,Alyosha,2010,10,https://youtube.com/watch?v=NQ2mAuqnXZk
PER53,Lost And Forgotten,Russia,Peter Nalitch & Friends,2010,11,https://youtube.com/watch?v=IOB7uaWuRyc
PER54,Allez Olla Ola,France,Jessy Matador,2010,12,https://youtube.com/watch?v=anVLKrv28hs
PER55,Ovo Je Balkan,Serbia,Milan Stankoviat,2010,13,https://youtube.com/watch?v=TBwWB3kKd6o
PER56,Milim,Israel,Harel Skaat,2010,14,https://youtube.com/watch?v=OG7fBifcRLk
PER57,Algo Pequeaito,Spain,Daniel Diges,2010,15,https://youtube.com/watch?v=_Unb161ZI-s
PER58,It's All About You,Albania,Juliana Pasha,2010,16,https://youtube.com/watch?v=3ZLlQE8ICno
PER59,Thunder and Lightning,Bosnia and Herzegovina,Vukaain Brajiat,2010,17,https://youtube.com/watch?v=wgPtHtmSFec
PER60,Ha Dias Assim,Portugal,Filipa Azevedo,2010,18,https://youtube.com/watch?v=_mTaVdnTMwo
PER61,Je Ne Sais Quoi,Iceland,Hera Bja¶rk,2010,19,https://youtube.com/watch?v=8vM7XAM6fzo
PER62,My Heart Is Yours,Norway,Didrik Solli-Tangen,2010,20,https://youtube.com/watch?v=h3KlbuVZGJw
PER63,Life Looks Better In Spring,Cyprus,Jon Lilygreen & The Islanders,2010,21,https://youtube.com/watch?v=KVsue-XPY0s
PER64,Run Away,Moldova,Sunstroke Project & Olia Tira,2010,22,https://youtube.com/watch?v=C-VMHOlCyW8
PER65,It's For You,Republic of Ireland,Niamh Kavanagh,2010,23,https://youtube.com/watch?v=HZnrupI_Mms
PER66,Butterflies,Belarus,3+2,2010,24,https://youtube.com/watch?v=5e0FQkgnm4Q
PER67,That Sounds Good To Me,United Kingdom,Josh,2010,25,https://youtube.com/watch?v=fR7l2xC4cOY
PER68,This Is My Life,Sweden,Anna Bergendahl,2010,26,https://youtube.com/watch?v=UH5cowCvCX4
PER69,Tya¶lki Ellaa,Finland,Kuunkuiskaajat,2010,27,https://youtube.com/watch?v=oicT3jWtsc4
PER70,Eastern European Funk,Lithuania,InCulto,2010,28,https://youtube.com/watch?v=XeOn-GG_eHo
PER71,My Dream,Malta,Thea Garrett,2010,29,https://youtube.com/watch?v=iwgF3TC2Kj0
PER72,Legenda,Poland,Marcin Mrozia„ski,2010,30,https://youtube.com/watch?v=VmEUURZXUlE
