s_ID,song_name,country,artist,p_year,final_place,performance_vid
S001,22,Republic of Ireland,Sarah McTernan,2019,41,https://youtube.com/watch?v=lX7DT9GMHQM
S002,1944,Ukraine,Jamala,2016,1,https://youtube.com/watch?v=B-rnM-MwRHY
S003,10 Years,Iceland,Daa°i & Gagnamagnia°,2021,4,https://youtube.com/watch?v=YSMhu-PrLME
S004,A Matter of Time,Belgium,Sennek,2018,31,https://youtube.com/watch?v=Z2cZE2gCfWg
S005,A Million Voices,Russia,Polina Gagarina,2015,2,https://youtube.com/watch?v=Q2gbKglCL5s
S006,A Monster Like Me,Norway,Ma¸rland & Debrah Scarlett,2015,8,https://youtube.com/watch?v=oVKJK9yb5xY
S007,Adio,Montenegro,Knez,2015,13,https://youtube.com/watch?v=vrYmyTJ87vI
S008,Adrenalina,San Marino,Senhit feat. Flo Rida,2021,22,https://youtube.com/watch?v=TkhiH-JXFPs
S009,Aina Mun Pitaa,Finland,Pertti Kurikan Nimipaivat,2015,38,https://youtube.com/watch?v=v4Y0HOPL5GU
S010,Alcohol Is Free,Greece,Koza Mostra feat. Agathon Iakovidis,2013,6,https://youtube.com/watch?v=_AfrOZersNk
S011,Alcohol You,Romania,Roxen,2020,,https://youtube.com/watch?v=TmqSU3v_Mtw
S012,Alive,Austria,Vincent Bueno,2020,,https://youtube.com/watch?v=cOuiTJlBC50
S013,All Of My Love,Malta,Destiny,2020,,https://youtube.com/watch?v=CFCn_8oViRw
S014,Alter Ego,Cyprus,Minus One,2016,21,https://youtube.com/watch?v=idUxTqmCFR0
S015,Always,Azerbaijan,AySel & Arash,2009,3,https://youtube.com/watch?v=9OEIOS1oUeY
S016,Amanecer,Spain,Edurne,2015,21,https://youtube.com/watch?v=NsMiJJlElAY
S017,Amar Pelos Dois,Portugal,Salvador Sobral,2017,1,https://youtube.com/watch?v=Qotooj7ODCM
S018,Amazing,Estonia,Tanja,2014,30,https://youtube.com/watch?v=wi9Q1ufjooE
S019,Amen,Austria,Vincent Bueno,2021,30,https://youtube.com/watch?v=xV9_pKj8Df8
S020,Amen,Slovenia,Ana Soklia,2021,32,https://youtube.com/watch?v=J9jWDxKQ50s
S021,Amnesia,Romania,Roxen,2021,28,https://youtube.com/watch?v=5ZWcsj_6Log
S022,An Me Thimasai,Cyprus,Despina Olympiou,2013,38,https://youtube.com/watch?v=Ekx8mT-fR80
S023,Angel,Ukraine,Mika Newton,2011,4,https://youtube.com/watch?v=g_xRmEkR6KE
S024,Angel In Disguise,Latvia,Musiqq,2011,39,https://youtube.com/watch?v=qBTMLCloxBw
S025,Angel Si Ti,Bulgaria,Miro,2010,36,https://youtube.com/watch?v=YTyTL04vlEw
S026,Aphrodisiac,Greece,Eleftheria Eleftheriou,2012,17,https://youtube.com/watch?v=NreIi8ma_PY
S027,Apollo,Switzerland,Timebelle,2017,29,https://youtube.com/watch?v=OrNPRfS9Sbg
S028,Apricot Stone,Armenia,Eva Rivas,2010,7,https://youtube.com/watch?v=hgz5TZugISw
S029,Arcade,Netherlands,Duncan Laurence,2019,1,https://youtube.com/watch?v=R3D-r4ogr7s
S030,Attention,Lithuania,Vilija Mataaia«naita—,2014,28,https://youtube.com/watch?v=qOGEtw7tmik
S031,Attention,Norway,Ulrikke Brandstorp,2020,,https://youtube.com/watch?v=o9atJbnqhJU
S032,Autumn Leaves,North Macedonia,Daniel Kajmakoski,2015,35,https://youtube.com/watch?v=TtSum7ouImU
S033,Aven Romale,Czech Republic,Gipsy.cz,2009,42,https://youtube.com/watch?v=JsjBPt-GeFc
S034,Be My Guest,Ukraine,Gaitana,2012,15,https://youtube.com/watch?v=sLsTn_li5d8
S035,Be my Valentine! (Anti-crisis Girl),Ukraine,Svetlana Loboda,2009,12,https://youtube.com/watch?v=rGJqLCuqssc
S036,Beautiful Mess,Bulgaria,Kristian Kostov,2017,2,https://youtube.com/watch?v=OMmm-G078LM
S037,Beautiful Song,Latvia,Anmary,2012,40,https://youtube.com/watch?v=KAxYfMFE_94
S038,Beauty Never Lies,Serbia,Bojana Stamenov,2015,10,https://youtube.com/watch?v=gXGo70i94S8
S039,Because of You,Belgium,Gustaph,2023,7,https://youtube.com/watch?v=ORhEoS6d8e4
S040,Believe Again,Denmark,Brinck,2009,13,https://youtube.com/watch?v=j7ZatW7tsxQ
S041,Believe In Me,United Kingdom,Bonnie Tyler,2013,19,https://youtube.com/watch?v=-agn-ERgTXA
S042,Better Love,Greece,Katerine Duska,2019,21,https://youtube.com/watch?v=5pQV_-40m_U
S043,Bigger Than Us,United Kingdom,Michael Rice,2019,26,https://youtube.com/watch?v=HV-eOhTS8Dw
