s_ID,name,language,genre
SO1,Fairytale,English,Traditional
SO2,Is It True?,English,Ballad
SO3,Always,English,Pop
SO4,Dum Tek Tek,English,Dance
SO5,It's My Time,English,Ballad
SO6,Randajad,Estonian,Ballad
SO7,This Is Our Night,English,Dance
SO8,Et s'il fallait le faire,French,Ballad
SO9,Bistra voda,Bosnian,Ballad
SO10,Jan Jan,"English, Armenian",Traditional
SO11,Mamo,"Russian, Ukrainian",Ballad
SO12,Be My Valentine! (Anti-Crisis Girl),English,Pop
SO13,Believe Again,English,Rock
SO14,Hora din Moldova,"Romanian, English",Traditional
SO15,Todas as ruas do amor,Portuguese,Traditional
SO16,There Must Be Another Way,"English, Hebrew, Arabic",Pop
SO17,Carry Me in Your Dreams,English,Dance
SO18,Lijepa Tena,Croatian,Ballad
SO19,The Balkan Girls,English,Dance
SO20,Miss Kiss Kiss Bang,English,Pop
SO21,La voix,"French, English",Traditional
SO22,What If We,English,Ballad
SO23,Love,"English, Russian",Ballad
SO24,La noche es para mi,"Spanish, English",Dance
SO25,Lose Control,English,Pop
SO26,Just Get Out of My Life,English,Pop
SO27,Aven Romale,"English, Romani",Traditional
SO28,Copycat,English,Pop
SO29,Eyes That Never Lie,English,Rock
SO30,La teva decisio (Get a Life),"Catalan, English",Pop
SO31,The Highest Heights,English,Rock
SO32,Illusion,English,Dance
SO33,Nesto sto kje ostane,Macedonian,Rock
SO34,Et Cetera,English,Rock
SO35,Probka,Russian,Pop
SO36,Cipela,Serbian,Traditional
SO37,I Don't Wanna Leave,English,Ballad
SO38,Firefly,English,Ballad
SO39,Le? tmou,Slovak,Ballad
SO40,Love Symphony,"English, Slovene",Pop
SO41,Dance with Me,English,Pop
SO42,Shine,English,Pop
SO43,Satellite,English,Pop
SO44,We Could Be the Same,English,Rock
SO45,Playing with Fire,English,Pop
SO46,In a Moment Like This,English,Pop
SO47,Drip Drop,English,Ballad
SO48,Me and My Guitar,English,Pop
SO49,Apricot Stone,English,Pop
SO50,OPA,Greek1,Pop
SO51,Shine,English,Ballad
SO52,Sweet People,English,Ballad
SO53,Lost and Forgotten,English,Ballad
SO54,Allez Ola Ole,French,Dance
SO55,Ovo je Balkan,Serbian,Pop
SO56,Milim,Hebrew,Ballad
SO57,Algo pequenito,Spanish,Pop
SO58,It's All About You,English,Pop
SO59,Thunder and Lightning,English,Rock
SO60,Ha dias assim,Portuguese,Ballad
SO61,Je ne sais quoi,English,Dance
SO62,My Heart Is Yours,English,Ballad
SO63,Life Looks Better in Spring,English,Pop
SO64,Run Away,English,Pop
SO65,It's for You,English,Ballad
SO66,Butterflies,English,Ballad
SO67,That Sounds Good to Me,English,Pop
SO68,Siren,English,Pop
SO69,Horehronie,Slovak,Traditional
SO70,Tyolki ellaa,Finnish,Traditional
SO71,What For?,English,Ballad
SO72,Legenda,"English, Polish",Ballad
SO73,My Dream,English,Ballad
SO74,Jas ja imam silata,Macedonian,Pop
SO75,Eastern European Funk,English,Dance
SO76,Il pleut de l'or,French,Pop
SO77,This Is My Life,English,Pop
SO78,Ik ben verliefd,Dutch,Pop
SO79,Narodnozabavni rock,Slovene,Rock
SO80,Angel si ti,"Bulgarian, English",Pop
SO81,Lako je sve,Croatian,Ballad
SO82,Running Scared,English,Ballad
SO83,Madness of Love,"Italian, English",Ballad
SO84,Popular,English,Dance
SO85,Angel,English,Ballad
SO86,New Tomorrow,English,Rock
SO87,Love in Rewind,English,Pop
SO88,Watch My Dance,"English, Greek",Pop
SO89,Lipstick,English,Pop
SO90,One More Day,English,Rock
SO91,Taken by a Stranger,English,Pop
SO92,I Can,English,Pop
SO93,So Lucky,English,Rock
SO94,No One,English,Ballad
SO95,Caroban,Serbian,Pop
SO96,Sognu,Corsican,Ballad
SO97,Get You,"English, Russian",Pop
SO98,Change,English,Pop
SO99,The Secret Is Love,English,Ballad
SO100,C'est ma vie,English,Ballad
SO101,Coming Home,English,Pop
SO102,Da Da Dam,English,Pop
SO103,What About My Dreams?,"English, Hungarian",Dance
