year,from_country,to_country,points
2009,Andorra,Norway,10
2009,Andorra,Iceland,8
2009,Andorra,Azerbaijan,0
2009,Andorra,Turkey,0
2009,Andorra,United Kingdom,4
2009,Andorra,Estonia,0
2009,Andorra,Greece,0
2009,Andorra,France,3
2009,Andorra,Bosnia and Herzegovina,0
2009,Andorra,Armenia,0
2009,Andorra,Russia,0
2009,Andorra,Ukraine,0
2009,Andorra,Denmark,5
2009,Andorra,Moldova,0
2009,Andorra,Portugal,6
2009,Andorra,Israel,7
2009,Andorra,Albania,0
2009,Andorra,Croatia,0
2009,Andorra,Romania,0
2009,Andorra,Germany,0
2009,Andorra,Sweden,2
2009,Andorra,Malta,1
2009,Andorra,Lithuania,0
2009,Andorra,Spain,12
2009,Andorra,Finland,0
2009,Albania,Iceland,6
2009,Albania,Azerbaijan,4
2009,Albania,Turkey,10
2009,Albania,United Kingdom,8
2009,Albania,Estonia,0
2009,Albania,Greece,12
2009,Albania,France,2
2009,Albania,Bosnia and Herzegovina,5
2009,Albania,Armenia,0
2009,Albania,Russia,0
2009,Albania,Ukraine,0
2009,Albania,Denmark,0
2009,Albania,Moldova,0
2009,Albania,Portugal,0
2009,Albania,Israel,0
2009,Albania,Albania,0
2009,Albania,Croatia,0
2009,Albania,Romania,0
2009,Albania,Germany,3
2009,Albania,Sweden,1
2009,Albania,Malta,0
2009,Albania,Lithuania,0
2009,Albania,Spain,0
2009,Albania,Finland,0
2010,Albania,Germany,10
2010,Albania,Turkey,8
2010,Albania,Romania,5
2010,Albania,Denmark,2
2010,Albania,Azerbaijan,0
2010,Albania,Belgium,0
2010,Albania,Armenia,0
2010,Albania,Greece,12
2010,Albania,Georgia,0
2010,Albania,Ukraine,0
2010,Albania,Russia,0
2010,Albania,France,0
2010,Albania,Serbia,3
2010,Albania,Israel,4
2010,Albania,Spain,7
2010,Albania,Albania,0
2010,Albania,Bosnia and Herzegovina,6
2010,Albania,Portugal,0
2010,Albania,Iceland,0
2010,Albania,Norway,0
2010,Albania,Cyprus,0
2010,Albania,Moldova,0
2010,Albania,Republic of Ireland,0
2010,Albania,Belarus,0
2010,Albania,United Kingdom,1
2011,Albania,Azerbaijan,8
2011,Albania,Italy,12
2011,Albania,Sweden,0
2011,Albania,Ukraine,3
2011,Albania,Denmark,0
2011,Albania,Bosnia and Herzegovina,7
2011,Albania,Greece,10
2011,Albania,Republic of Ireland,0
2011,Albania,Georgia,0
2011,Albania,Germany,0
2011,Albania,United Kingdom,6
2011,Albania,Moldova,0
2011,Albania,Slovenia,0
2011,Albania,Serbia,1
2011,Albania,France,2
2011,Albania,Russia,4
2011,Albania,Romania,0
2011,Albania,Austria,0
2011,Albania,Lithuania,0
2011,Albania,Iceland,0
2011,Albania,Finland,0
2011,Albania,Hungary,0
2011,Albania,Spain,5
2011,Albania,Estonia,0
2011,Albania,Switzerland,0
2012,Albania,Sweden,5
2012,Albania,Russia,3
2012,Albania,Serbia,1
2012,Albania,Azerbaijan,4
2012,Albania,Albania,0
2012,Albania,Estonia,0
2012,Albania,Turkey,10
2012,Albania,Germany,2
2012,Albania,Italy,7
2012,Albania,Spain,0
2012,Albania,Moldova,0
2012,Albania,Romania,0
2012,Albania,North Macedonia,8
2012,Albania,Lithuania,0
2012,Albania,Ukraine,0
2012,Albania,Cyprus,6
2012,Albania,Greece,12
2012,Albania,Bosnia and Herzegovina,0
2012,Albania,Republic of Ireland,0
2012,Albania,Iceland,0
2012,Albania,Malta,0
2012,Albania,France,0
2012,Albania,Denmark,0
2012,Albania,Hungary,0
2012,Albania,United Kingdom,0
2012,Albania,Norway,0
2013,Albania,Denmark,1
2013,Albania,Azerbaijan,7
2013,Albania,Ukraine,0
2013,Albania,Norway,2
2013,Albania,Russia,0
2013,Albania,Greece,10
2013,Albania,Italy,12
2013,Albania,Malta,0
2013,Albania,Netherlands,4
2013,Albania,Hungary,8
2013,Albania,Moldova,0
2013,Albania,Belgium,0
2013,Albania,Romania,5
2013,Albania,Sweden,0
2013,Albania,Georgia,0
2013,Albania,Belarus,0
2013,Albania,Iceland,0
2013,Albania,Armenia,0
2013,Albania,United Kingdom,0
2013,Albania,Estonia,0
2013,Albania,Germany,3
2013,Albania,Lithuania,0
2013,Albania,France,0
2013,Albania,Finland,0
2013,Albania,Spain,6
2013,Albania,Republic of Ireland,0
2014,Albania,Austria,5
2014,Albania,Netherlands,0
2014,Albania,Sweden,7
2014,Albania,Armenia,0
2014,Albania,Hungary,8
2014,Albania,Ukraine,0
2014,Albania,Russia,0
2014,Albania,Norway,0
2014,Albania,Denmark,0
2014,Albania,Spain,12
2014,Albania,Finland,0
2014,Albania,Romania,0
2014,Albania,Switzerland,0
2014,Albania,Poland,0
2014,Albania,Iceland,0
2014,Albania,Belarus,0
2014,Albania,United Kingdom,0
2014,Albania,Germany,4
2014,Albania,Montenegro,6
2014,Albania,Greece,2
2014,Albania,Italy,10
2014,Albania,Azerbaijan,0
2014,Albania,Malta,1
2014,Albania,San Marino,3
2014,Albania,Slovenia,0
2014,Albania,France,0
2015,Albania,Sweden,7
2015,Albania,Russia,8
2015,Albania,Italy,12
2015,Albania,Belgium,1
