vote_ID,year,from_country,to_country,points
V00001,2009,Andorra,Norway,10
V00002,2009,Andorra,Iceland,8
V00003,2009,Andorra,Azerbaijan,0
V00004,2009,Andorra,Turkey,0
V00005,2009,Andorra,United Kingdom,4
V00006,2009,Andorra,Estonia,0
V00007,2009,Andorra,Greece,0
V00008,2009,Andorra,France,3
V00009,2009,Andorra,Bosnia and Herzegovina,0
V00010,2009,Andorra,Armenia,0
V00011,2009,Andorra,Russia,0
V00012,2009,Andorra,Ukraine,0
V00013,2009,Andorra,Denmark,5
V00014,2009,Andorra,Moldova,0
V00015,2009,Andorra,Portugal,6
V00016,2009,Andorra,Israel,7
V00017,2009,Andorra,Albania,0
V00018,2009,Andorra,Croatia,0
V00019,2009,Andorra,Romania,0
V00020,2009,Andorra,Germany,0
V00021,2009,Andorra,Sweden,2
V00022,2009,Andorra,Malta,1
V00023,2009,Andorra,Lithuania,0
V00024,2009,Andorra,Spain,12
V00025,2009,Andorra,Finland,0
V00026,2009,Albania,Iceland,6
V00027,2009,Albania,Azerbaijan,4
V00028,2009,Albania,Turkey,10
V00029,2009,Albania,United Kingdom,8
V00030,2009,Albania,Estonia,0
V00031,2009,Albania,Greece,12
V00032,2009,Albania,France,2
V00033,2009,Albania,Bosnia and Herzegovina,5
V00034,2009,Albania,Armenia,0
V00035,2009,Albania,Russia,0
V00036,2009,Albania,Ukraine,0
V00037,2009,Albania,Denmark,0
V00038,2009,Albania,Moldova,0
V00039,2009,Albania,Portugal,0
V00040,2009,Albania,Israel,0
V00041,2009,Albania,Albania,0
V00042,2009,Albania,Croatia,0
V00043,2009,Albania,Romania,0
V00044,2009,Albania,Germany,3
V00045,2009,Albania,Sweden,1
V00046,2009,Albania,Malta,0
V00047,2009,Albania,Lithuania,0
V00048,2009,Albania,Spain,0
V00049,2009,Albania,Finland,0
V00050,2010,Albania,Germany,10
V00051,2010,Albania,Turkey,8
V00052,2010,Albania,Romania,5
V00053,2010,Albania,Denmark,2
V00054,2010,Albania,Azerbaijan,0
V00055,2010,Albania,Belgium,0
V00056,2010,Albania,Armenia,0
V00057,2010,Albania,Greece,12
V00058,2010,Albania,Georgia,0
V00059,2010,Albania,Ukraine,0
V00060,2010,Albania,Russia,0
V00061,2010,Albania,France,0
V00062,2010,Albania,Serbia,3
V00063,2010,Albania,Israel,4
V00064,2010,Albania,Spain,7
V00065,2010,Albania,Albania,0
V00066,2010,Albania,Bosnia and Herzegovina,6
V00067,2010,Albania,Portugal,0
V00068,2010,Albania,Iceland,0
V00069,2010,Albania,Norway,0
V00070,2010,Albania,Cyprus,0
V00071,2010,Albania,Moldova,0
V00072,2010,Albania,Republic of Ireland,0
V00073,2010,Albania,Belarus,0
V00074,2010,Albania,United Kingdom,1
V00075,2011,Albania,Azerbaijan,8
V00076,2011,Albania,Italy,12
V00077,2011,Albania,Sweden,0
V00078,2011,Albania,Ukraine,3
V00079,2011,Albania,Denmark,0
V00080,2011,Albania,Bosnia and Herzegovina,7
V00081,2011,Albania,Greece,10
V00082,2011,Albania,Republic of Ireland,0
V00083,2011,Albania,Georgia,0
V00084,2011,Albania,Germany,0
V00085,2011,Albania,United Kingdom,6
V00086,2011,Albania,Moldova,0
V00087,2011,Albania,Slovenia,0
V00088,2011,Albania,Serbia,1
V00089,2011,Albania,France,2
V00090,2011,Albania,Russia,4
V00091,2011,Albania,Romania,0
V00092,2011,Albania,Austria,0
V00093,2011,Albania,Lithuania,0
V00094,2011,Albania,Iceland,0
V00095,2011,Albania,Finland,0
V00096,2011,Albania,Hungary,0
V00097,2011,Albania,Spain,5
V00098,2011,Albania,Estonia,0
V00099,2011,Albania,Switzerland,0
V00100,2012,Albania,Sweden,5
V00101,2012,Albania,Russia,3
V00102,2012,Albania,Serbia,1
V00103,2012,Albania,Azerbaijan,4
V00104,2012,Albania,Albania,0
V00105,2012,Albania,Estonia,0
V00106,2012,Albania,Turkey,10
V00107,2012,Albania,Germany,2
V00108,2012,Albania,Italy,7
V00109,2012,Albania,Spain,0
V00110,2012,Albania,Moldova,0
V00111,2012,Albania,Romania,0
V00112,2012,Albania,North Macedonia,8
V00113,2012,Albania,Lithuania,0
V00114,2012,Albania,Ukraine,0
V00115,2012,Albania,Cyprus,6
V00116,2012,Albania,Greece,12
V00117,2012,Albania,Bosnia and Herzegovina,0
V00118,2012,Albania,Republic of Ireland,0
V00119,2012,Albania,Iceland,0
V00120,2012,Albania,Malta,0
V00121,2012,Albania,France,0
V00122,2012,Albania,Denmark,0
V00123,2012,Albania,Hungary,0
V00124,2012,Albania,United Kingdom,0
V00125,2012,Albania,Norway,0
V00126,2013,Albania,Denmark,1
V00127,2013,Albania,Azerbaijan,7
